,,,,,url,label,totalNodes,uniqueTags,inlineEventHandlers,javascriptHref,loginFormCount,passwordFieldCount,externalFormActionBinary,externalFormActionNonBinary,suspiciousKeywords,hiddenIframeCount,suspiciousScriptTags,metaTagCount,externalScriptCount,inlineScriptCount,externalLinkCount,embeddedObjectCount,suspiciousInlineStyleCount,suspiciousLinkCount,scriptCount,linkCount,iframeCount,formCount,navigatedFrameCount,externalFrameCount,hasSuspiciousFrameUrl,js_len,js_obf_len,js_external_count,sslBypassUsed,usedProxy,finalUrlTried
 http://103.147.14.89:8888/supershell/login,1,,,, http://103.147.14.89:8888/supershell/login,1,41,18,1,1,0,1,0,0,0,0,0,3,4,2,2,0,0,0,6,1,0,0,0,0,0,13361,13156,0,0,0, http://103.147.14.89:8888/supershell/login
 http://104.194.215.25:22222/login,1,,,, http://104.194.215.25:22222/login,1,41,15,0,0,1,1,0,0,0,0,0,1,7,2,0,0,0,0,9,0,0,1,0,0,0,1190,0,2,0,0, http://104.194.215.25:22222/login
 http://104.238.61.204:9933/login,1,,,, http://104.238.61.204:9933/login,1,41,15,0,0,1,1,0,0,0,0,0,1,7,2,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0, http://104.238.61.204:9933/login
 http://110.41.44.100:8888/supershell/login,1,,,, http://110.41.44.100:8888/supershell/login,1,41,18,1,1,0,1,0,0,0,0,0,3,4,2,2,0,0,0,6,1,0,0,0,0,0,13361,13156,0,0,0, http://110.41.44.100:8888/supershell/login
 http://111.119.255.45:8888/supershell/login,1,,,, http://111.119.255.45:8888/supershell/login,1,41,18,1,1,0,1,0,0,0,0,0,3,4,2,2,0,0,0,6,1,0,0,0,0,0,13361,13156,0,0,0, http://111.119.255.45:8888/supershell/login
 http://113.45.238.149:8888/supershell/login,1,,,, http://113.45.238.149:8888/supershell/login,1,41,18,1,1,0,1,0,0,0,0,0,3,4,2,2,0,0,0,6,1,0,0,0,0,0,13361,13156,0,0,0, http://113.45.238.149:8888/supershell/login
 http://115.190.31.168:8888/supershell/login/,1,,,, http://115.190.31.168:8888/supershell/login/,1,41,18,1,1,0,1,0,0,0,0,0,3,4,2,2,0,0,0,6,1,0,0,0,0,0,13361,13156,0,0,0, http://115.190.31.168:8888/supershell/login/
 http://121.127.231.163/,1,,,, http://121.127.231.163/,1,12,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, http://121.127.231.163/
 http://121.127.231.198/,1,,,, http://121.127.231.198/,1,12,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, http://121.127.231.198/
 http://137.184.35.179:8888/supershell/login/,1,,,, http://137.184.35.179:8888/supershell/login/,1,41,18,1,1,0,1,0,0,0,0,0,3,4,2,2,0,0,0,6,1,0,0,0,0,0,13361,13156,0,0,0, http://137.184.35.179:8888/supershell/login/
